Heure de début,Impressions
00 h,471
01 h,299
02 h,209
03 h,138
04 h,95
05 h,123
06 h,219
07 h,358
08 h,567
09 h,894
10 h,924
11 h,1015
12 h,999
13 h,1014
14 h,1002
15 h,993
16 h,1087
17 h,1045
18 h,1141
19 h,1033
20 h,920
21 h,638
22 h,291
23 h,107
