Nom de la campagne,Nom du groupe de campagnes,État de la campagne,Coût,Clics,Conversions
FR | Dormir Lyon,,Activé,742.25,1142,83.43
FR | Brand Lyon,,Activé,339.39,719,144.25
FR | Manger Lyon,,Activé,100.94,113,0.0
